[     208ms] [WARNING] "shadow*" style props are deprecated. Use "boxShadow". @ http://localhost:10001/index.ts.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable:19705
[     216ms] [WARNING] [expo-av]: Expo AV has been deprecated and will be removed in SDK 54. Use the `expo-audio` and `expo-video` packages to replace the required functionality. @ http://localhost:10001/index.ts.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable:104252
[     944ms] [WARNING] props.pointerEvents is deprecated. Use style.pointerEvents @ http://localhost:10001/index.ts.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable:19705
[ 1551195ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1556195ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1561199ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1566208ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1571209ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1576213ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1581220ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1586225ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1591228ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1596232ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1601245ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1606242ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1611247ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1616250ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1621254ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1626257ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1631260ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1636272ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1641273ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1646280ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1651282ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1656288ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1661291ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1666297ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1671299ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1676305ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1681307ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1686313ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1691315ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1696319ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1701323ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1706328ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1711330ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1716333ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1721353ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1726347ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1731352ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1736356ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1741358ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1746365ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1751365ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1756372ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1761410ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1766377ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1771379ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1776383ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1781387ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1786391ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1791396ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1796401ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1801405ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1806411ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1811417ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1816425ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1821427ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1826432ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1831437ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1836442ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1841444ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1846451ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1851451ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
